feature,importance
学业潜力指数,0.20357127949656262
学习指数,0.09084656100441774
成绩变化代理指数,0.06223482593586632
综合发展指数,0.03758399629191451
综合成绩,0.03643326623892979
自律指数,0.0309394367198227
锻炼均次,0.029111753354126864
健康指数,0.02615742515452461
奖学金金额,0.02403275880976064
跑步活跃天数,0.023666617404040895
奖学金次数,0.022320230439916332
锻炼次数,0.021600088400326463
最近60天跑步次数,0.020178829581627672
籍贯,0.019515589700621765
最近90天跑步次数,0.018148105931841456
跑步次数,0.014799758889040294
最近30天跑步次数,0.01447001270998402
生活规律指数,0.013800157522532976
拓展学习时长,0.012556110723386752
锻炼_体测比,0.011814726003182582
出生日期,0.010295689602409959
投入产出平衡指数,0.007913524250674011
学习稳定性指数,0.00711454402884801
锻炼波动,0.006638617648670398
体测分,0.006316302826811308
作业平均分,0.006177472156078308
上网时长,0.006071518681815108
作业分数波动,0.005868065494125337
运动学习平衡指数,0.005784339015133188
上网变异系数,0.00578323969319939
社交指数,0.005699683099077906
上网波动,0.005633895360248468
作业完成_课堂任务比,0.005454580361912272
月均上网时长,0.005418808257550052
测验平均分,0.005347521298554689
作业完成次数,0.00518366442092868
BMI,0.005102728661281351
作业平均分_课堂任务,0.005053364503283929
社团次数,0.005009585449189068
作业执行力指数,0.004976395365183846
专业,0.0047676578459920314
线上访问量均值,0.004450613637301495
线上积极性指数,0.004410273221951461
线上访问量,0.004410057861436214
测验分波动,0.004287087936413491
上网_跑步比,0.004272599427053773
作业完成率_显式,0.004255902937571295
耐力项目成绩,0.004172923845267736
锻炼变异系数,0.004102547505278698
课堂作业分波动,0.00407197368678709
线上学习质量指数,0.004060506755591117
学习持续性指数,0.0039850735417009285
视频学习时长波动,0.003959051110423173
肺活量,0.0038818528220934193
立定跳远,0.0038231802333412875
作业提交次数,0.003743100561816677
1000米,0.003594123744540544
风险指数,0.0034754404090917446
白天门禁次数,0.003368936851088481
考试分波动,0.003360199816689554
坐位体前屈,0.0033482546033644575
学习娱乐平衡指数,0.0032229853700616105
视频学习时长均值,0.0032150797665174897
视频学习时长,0.003212270848251196
力量项目成绩,0.002804881044564748
引体向上,0.002654841209049068
门禁次数,0.0026406861760095873
考试平均分,0.0026009193254587465
跑步学期数,0.0024595498903248756
50米,0.0024437262465689153
试卷参与次数,0.0023693307488437372
门禁活跃天数,0.002253024453552966
互评分次数,0.002110289323285347
高耗时低产出指数,0.001998617105049394
民族,0.0019432595151194307
进门次数,0.001922642812947254
上网_图书馆比,0.0018794694777804772
社团活跃天数,0.001866778064857083
周末门禁次数,0.001798521356442284
学院,0.0015798441038171586
锻炼学期数,0.0015283239936481482
仰卧起坐,0.0012051699654257858
线上互动率,0.0011138458929093897
图书馆进出平衡,0.0009691938302160314
晚间到馆次数,0.0009604535633936801
图书馆次数,0.0008976416611875704
锻炼周数,0.0008772606649652666
讨论数,0.0008505113448638432
图书馆活跃天数,0.0008440132101932036
回帖数,0.0007370997545318426
白天到馆次数,0.0007325651278444145
周末到馆次数,0.0007284953955801004
竞赛次数,0.000610028798181594
图书馆_门禁活跃比,0.0005421186222847451
性别,0.0004944715939421833
进馆次数,0.0004891292679462719
BMI偏高,0.00046998599259368684
800米,0.00042202948775361726
BMI偏低,0.00040409996410887227
问答参与次数,0.00038800761952046683
出馆次数,0.00036882807613134014
政治面貌,0.0003670931481898166
夜间占比,0.0003079962203670512
出入比,8.602689174838056e-05
夜间次数,6.586369395240098e-05
夜间活跃学习失衡指数,5.7646353105143374e-05
出门次数,5.6671557970159354e-05
直播学习时长,2.2282626746540867e-05
