feature,importance
1000米,0.08500569829956271
50米,0.061843981597720296
立定跳远,0.05984902722308354
引体向上,0.04650688346204123
BMI,0.036783197682969206
仰卧起坐,0.0243429685858233
坐位体前屈,0.024185773385312883
综合发展指数,0.024115394821338364
综合成绩,0.02341931573099515
800米,0.02305450276898196
肺活量,0.019981984343795025
自律指数,0.013700618236654543
生活规律指数,0.013480027344594069
BMI偏高,0.013440836517229944
奖学金金额,0.012254198651852597
跑步活跃天数,0.011437688306011108
成绩变化代理指数,0.011339459801756225
跑步次数,0.011054145590569954
学习指数,0.010856952490873109
锻炼均次,0.010827467929891468
学业潜力指数,0.010523476734052097
出生日期,0.010468167943611455
锻炼波动,0.009673120046524087
锻炼次数,0.009307280358744353
社交指数,0.009300417670224166
作业平均分,0.008930563996352696
最近60天跑步次数,0.008806300314317889
锻炼变异系数,0.008647820762023917
英语平均分,0.00859663125634252
视频学习时长波动,0.008563675271065885
性别,0.008445169428445958
拓展学习时长,0.00837521921927342
线上学习质量指数,0.008358261941724891
最近90天跑步次数,0.008356147518346353
奖学金次数,0.008245150835373546
英语成绩波动,0.008202663263763026
作业平均分_课堂任务,0.00799114517994858
线上访问量均值,0.007990033637815072
考试平均分,0.007974928492151605
作业分数波动,0.007961543415435464
测验分波动,0.00794666820069249
课堂作业分波动,0.007839474992913613
学习稳定性指数,0.007791682475979184
考试分波动,0.007727199192363829
专业,0.0076945953156304795
英语成绩,0.007680341197072947
上网时长,0.007660196940193128
上网变异系数,0.007620705304328662
视频学习时长均值,0.00759913277542599
上网_跑步比,0.00759734909715633
运动学习平衡指数,0.007519020984988799
投入产出平衡指数,0.007473681312006396
最近30天跑步次数,0.007467582759723219
线上积极性指数,0.007438542631754253
上网波动,0.007430732942632378
视频学习时长,0.0074075660080194245
线上访问量,0.0073538428578053296
高耗时低产出指数,0.007351411651363412
上网_图书馆比,0.007291403092457662
作业执行力指数,0.0070361893346646215
学习娱乐平衡指数,0.006999629476969068
风险指数,0.0069681141439564874
测验平均分,0.006926125721865503
月均上网时长,0.006627166467857354
学习持续性指数,0.005973896865950507
试卷参与次数,0.005727413578096202
籍贯,0.005678934524468966
社团次数,0.00532476552714446
作业完成_课堂任务比,0.005113326166080653
学院,0.004944415694767755
讨论数,0.00482522941023494
作业提交次数,0.0048038529873370385
线上互动率,0.004769669384495945
作业完成率_显式,0.004743689989764877
回帖数,0.004654135714319502
作业完成次数,0.004612976778496764
互评分次数,0.004550057823302314
锻炼周数,0.003622092544502869
社团活跃天数,0.003528381226812356
英语考试次数,0.003472907926117035
门禁活跃天数,0.00252374836372673
锻炼学期数,0.00245343046160494
门禁次数,0.002432753975725063
竞赛次数,0.0022422385610162228
进门次数,0.0020048713510277863
白天门禁次数,0.0018600244415672798
图书馆进出平衡,0.0016655400628696304
问答参与次数,0.0015539822730671396
周末门禁次数,0.0014836399006568073
图书馆_门禁活跃比,0.001339185231709128
白天到馆次数,0.001329645832793453
进馆次数,0.0012722028796854656
跑步学期数,0.0012255606016266562
图书馆活跃天数,0.0010995316400744652
晚间到馆次数,0.0010927852845095429
图书馆次数,0.001044241372080835
周末到馆次数,0.0009867776865308945
民族,0.0008772309927964051
出馆次数,0.0006992290110959381
夜间占比,0.0006756963331747228
政治面貌,0.0006655852504951296
夜间活跃学习失衡指数,0.0006430848342221733
直播学习时长,0.0005071934836665222
夜间次数,0.0004227632717344506
BMI偏低,0.00038018119226421534
出门次数,0.00026968078297061093
出入比,0.0002572538510014276
