feature,importance
学业潜力指数,0.11589297201451582
英语成绩,0.08966544760547263
综合成绩,0.0622938377113929
英语平均分,0.03674307316756385
综合发展指数,0.031839294842152074
周末到馆次数,0.02998455010676946
图书馆活跃天数,0.027738471683676817
课堂作业分波动,0.026376076310762546
图书馆_门禁活跃比,0.026288322519837315
进馆次数,0.026202240856700074
图书馆进出平衡,0.02371934533070257
测验平均分,0.022914291353793418
作业平均分_课堂任务,0.021416089406862248
测验分波动,0.020455629617268725
成绩变化代理指数,0.01976652253396708
白天到馆次数,0.019490447985509647
图书馆次数,0.01939077454187466
学习持续性指数,0.01807810693494688
线上学习质量指数,0.01760714121391833
奖学金金额,0.016437242210859036
晚间到馆次数,0.01437870150338742
生活规律指数,0.013228299708520979
风险指数,0.011195834884269739
上网_图书馆比,0.010676217309230495
奖学金次数,0.010399902529815272
竞赛次数,0.008684189350046279
社交指数,0.00842054481846833
自律指数,0.008162094945698905
健康指数,0.0066163890439301
出馆次数,0.006590784624457253
拓展学习时长,0.00646056163428136
英语成绩波动,0.006035474826257131
籍贯,0.006034825276448764
锻炼均次,0.005490789174652642
学习稳定性指数,0.005463730042489863
学习娱乐平衡指数,0.005297416816333898
线上访问量均值,0.005146425928591203
线上访问量,0.004962852056677155
跑步次数,0.004708561737181377
线上积极性指数,0.00462285841353144
坐位体前屈,0.004531953389543183
锻炼次数,0.004470886334769193
体测分,0.004004815284650416
月均上网时长,0.003946006734415763
锻炼波动,0.003916014141286401
考试分波动,0.003904314580650177
跑步活跃天数,0.003901335795612516
高耗时低产出指数,0.0038528922958196454
锻炼变异系数,0.0038345108159609396
BMI,0.0037616549993905045
作业执行力指数,0.003759129532553599
视频学习时长波动,0.0037177091016461707
社团次数,0.003716620353021154
作业平均分,0.0036500069544055784
50米,0.003629477280139872
专业,0.0035883695883584714
力量项目成绩,0.0035807777523683935
立定跳远,0.0035454954657342234
锻炼_体测比,0.0035051045752495236
考试平均分,0.0034764918972723315
肺活量,0.0034599099032473282
最近30天跑步次数,0.0034031862143226056
上网变异系数,0.003370076973058846
投入产出平衡指数,0.003354609759471988
英语考试次数,0.0033494215550405834
作业分数波动,0.0033414583589027706
视频学习时长,0.003341306783648479
耐力项目成绩,0.003292142203964727
最近90天跑步次数,0.0032779440619710933
最近60天跑步次数,0.003127342385544629
上网时长,0.0030602935289138575
出生日期,0.002974942030338959
作业完成_课堂任务比,0.002954972823523829
学院,0.00294455326718069
视频学习时长均值,0.0028881342499731664
1000米,0.0028877761607768314
运动学习平衡指数,0.0028807116910501327
上网_跑步比,0.0028789095964555068
试卷参与次数,0.002871760088727268
上网波动,0.002755028075326523
社团活跃天数,0.0026302514861622278
讨论数,0.0026211007020098018
作业完成次数,0.0026194274408803467
作业提交次数,0.0025865375861874357
作业完成率_显式,0.0025590680198462495
回帖数,0.002502988781211782
互评分次数,0.002405083425401485
线上互动率,0.002349857474509155
引体向上,0.002251007258473495
仰卧起坐,0.0015171599944109311
进门次数,0.0013136994927708328
门禁次数,0.0011718385986466875
锻炼学期数,0.0010868988179129496
800米,0.0010804914140231483
门禁活跃天数,0.0010524995821974646
锻炼周数,0.0010117907869213263
白天门禁次数,0.0010008946047864128
问答参与次数,0.0006981330882439604
周末门禁次数,0.0006706181103320287
夜间占比,0.0006119896367981982
夜间活跃学习失衡指数,0.00040434903545864224
BMI偏高,0.00040388997986309414
出入比,0.0003113628691493503
性别,0.00030669930338530945
夜间次数,0.00030643274889430777
政治面貌,0.0002753888027307267
出门次数,0.0002681755649209764
民族,0.00016211846255549079
BMI偏低,0.0001064691478923915
跑步学期数,6.801990711169953e-05
直播学习时长,6.137871920870935e-05
