feature,importance
学业潜力指数,0.019999999999999952
线上访问量,0.01959999999999995
综合发展指数,0.01879999999999995
成绩变化代理指数,0.01599999999999997
作业完成_课堂任务比,0.012799999999999988
作业完成率_显式,0.008800000000000007
学院,0.008000000000000007
作业提交次数,0.006000000000000005
测验分波动,0.005200000000000005
作业平均分_课堂任务,0.004800000000000004
线上访问量均值,0.0036000000000000034
运动学习平衡指数,0.0036000000000000034
力量项目成绩,0.002400000000000002
拓展学习时长,0.002400000000000002
仰卧起坐,0.0020000000000000018
课堂作业分波动,0.0020000000000000018
英语平均分,0.0020000000000000018
晚间到馆次数,0.0020000000000000018
图书馆活跃天数,0.0016000000000000014
专业,0.0016000000000000014
竞赛次数,0.0016000000000000014
肺活量,0.001200000000000001
引体向上,0.001200000000000001
社团活跃天数,0.001200000000000001
社交指数,0.001200000000000001
月均上网时长,0.0008000000000000007
线上学习质量指数,0.0008000000000000007
锻炼波动,0.0008000000000000007
试卷参与次数,0.0008000000000000007
图书馆进出平衡,0.0008000000000000007
BMI偏高,0.00040000000000000034
作业分数波动,0.00040000000000000034
最近90天跑步次数,0.00040000000000000034
进馆次数,0.00040000000000000034
门禁次数,0.00040000000000000034
回帖数,0.0
夜间占比,0.0
夜间活跃学习失衡指数,0.0
问答参与次数,0.0
跑步次数,0.0
周末门禁次数,0.0
最近30天跑步次数,0.0
跑步学期数,0.0
性别,0.0
政治面貌,0.0
民族,0.0
籍贯,0.0
奖学金次数,0.0
奖学金金额,0.0
坐位体前屈,0.0
BMI偏低,0.0
学习稳定性指数,0.0
白天到馆次数,-0.00040000000000000034
上网波动,-0.00040000000000000034
最近60天跑步次数,-0.00040000000000000034
BMI,-0.00040000000000000034
学习持续性指数,-0.00040000000000000034
社团次数,-0.00040000000000000034
出馆次数,-0.00040000000000000034
门禁活跃天数,-0.00040000000000000034
800米,-0.00040000000000000034
英语考试次数,-0.0008000000000000007
英语成绩波动,-0.0008000000000000007
讨论数,-0.0008000000000000007
白天门禁次数,-0.0008000000000000007
周末到馆次数,-0.0008000000000000007
1000米,-0.0008000000000000007
进门次数,-0.001200000000000001
互评分次数,-0.001200000000000001
锻炼学期数,-0.001200000000000001
耐力项目成绩,-0.001200000000000001
锻炼周数,-0.001200000000000001
上网_图书馆比,-0.0016000000000000014
线上互动率,-0.0016000000000000014
上网_跑步比,-0.0016000000000000014
体测分,-0.0016000000000000014
视频学习时长均值,-0.0016000000000000014
50米,-0.0016000000000000014
视频学习时长波动,-0.0016000000000000014
考试分波动,-0.0016000000000000014
立定跳远,-0.0020000000000000018
考试平均分,-0.0020000000000000018
跑步活跃天数,-0.0020000000000000018
视频学习时长,-0.0020000000000000018
英语成绩,-0.002400000000000002
健康指数,-0.002400000000000002
锻炼次数,-0.0028000000000000026
高耗时低产出指数,-0.0032000000000000028
生活规律指数,-0.0032000000000000028
锻炼_体测比,-0.0036000000000000034
锻炼均次,-0.0040000000000000036
自律指数,-0.004400000000000004
