feature,importance
成绩变化代理指数,0.18720000000000006
锻炼均次,0.026400000000000024
锻炼次数,0.014400000000000013
线上访问量,0.013600000000000011
竞赛次数,0.008400000000000008
视频学习时长均值,0.008400000000000008
视频学习时长波动,0.00800000000000003
性别,0.007600000000000029
800米,0.007600000000000007
作业完成率_显式,0.007200000000000028
白天到馆次数,0.006800000000000006
社团次数,0.0064000000000000055
门禁次数,0.005200000000000027
1000米,0.0048000000000000265
作业完成_课堂任务比,0.0048000000000000265
上网时长,0.003200000000000025
周末门禁次数,0.0032000000000000028
进馆次数,0.0032000000000000028
线上互动率,0.0032000000000000028
作业提交次数,0.0032000000000000028
学习指数,0.0032000000000000028
作业完成次数,0.0032000000000000028
图书馆次数,0.0028000000000000247
学习持续性指数,0.0024000000000000245
生活规律指数,0.0024000000000000245
门禁活跃天数,0.002400000000000002
上网_跑步比,0.002400000000000002
最近60天跑步次数,0.0020000000000000686
作业分数波动,0.002000000000000024
图书馆活跃天数,0.002000000000000024
上网_图书馆比,0.0020000000000000018
风险指数,0.0020000000000000018
跑步活跃天数,0.0020000000000000018
BMI偏高,0.0020000000000000018
周末到馆次数,0.0016000000000000237
英语平均分,0.0016000000000000237
学习稳定性指数,0.0016000000000000237
坐位体前屈,0.0016000000000000014
月均上网时长,0.0012000000000000678
籍贯,0.0012000000000000454
立定跳远,0.0012000000000000233
BMI,0.0012000000000000233
测验平均分,0.0012000000000000233
作业平均分_课堂任务,0.0012000000000000233
锻炼波动,0.001200000000000001
最近90天跑步次数,0.0008000000000000451
BMI偏低,0.0008000000000000451
作业执行力指数,0.0008000000000000229
进门次数,0.0008000000000000229
互评分次数,0.0008000000000000007
试卷参与次数,0.00040000000000002257
夜间活跃学习失衡指数,0.00040000000000000034
民族,0.00040000000000000034
课堂作业分波动,4.4408920985006264e-17
测验分波动,4.4408920985006264e-17
拓展学习时长,4.4408920985006264e-17
高耗时低产出指数,2.2204460492503132e-17
政治面貌,2.2204460492503132e-17
晚间到馆次数,2.2204460492503132e-17
50米,-0.0003999999999999337
引体向上,-0.00039999999999995595
问答参与次数,-0.00039999999999995595
上网波动,-0.00039999999999997817
白天门禁次数,-0.00039999999999997817
夜间次数,-0.00039999999999997817
夜间占比,-0.0007999999999999563
线上积极性指数,-0.0007999999999999563
跑步学期数,-0.0007999999999999785
社交指数,-0.0011999999999999344
社团活跃天数,-0.0011999999999999344
出馆次数,-0.0011999999999999344
锻炼周数,-0.0011999999999999567
最近30天跑步次数,-0.0015999999999999348
体测分,-0.0015999999999999348
健康指数,-0.0015999999999999348
自律指数,-0.0015999999999999348
耐力项目成绩,-0.0015999999999999348
线上访问量均值,-0.001599999999999957
线上学习质量指数,-0.0015999999999999793
运动学习平衡指数,-0.0019999999999998908
考试平均分,-0.001999999999999913
图书馆进出平衡,-0.001999999999999935
锻炼_体测比,-0.001999999999999935
跑步次数,-0.0019999999999999575
考试分波动,-0.0023999999999999135
英语考试次数,-0.0023999999999999135
肺活量,-0.0023999999999999356
英语成绩波动,-0.0023999999999999356
仰卧起坐,-0.0027999999999998916
力量项目成绩,-0.002799999999999936
作业平均分,-0.0031999999999998917
视频学习时长,-0.003199999999999914
回帖数,-0.0035999999999999145
讨论数,-0.0035999999999999145
专业,-0.004399999999999937
锻炼学期数,-0.005199999999999916
英语成绩,-0.005999999999999917
学院,-0.00919999999999992
