student_id,表现档次,风险标签,学生画像类别
pjxwxxbj928,高表现,1,0
pjxyqwbj585,中表现,1,0
pjxyqxbk346,低表现,1,0
pjxyqxbj950,高表现,0,3
pjxyqxbk148,中表现,1,0
pjxyqxbl913,低表现,1,3
pjwrqxbj965,高表现,0,3
pjxyqwbk548,低表现,1,0
pjxyqxbk915,低表现,1,0
pjwtqxbj944,高表现,0,0
pjxyqxbj132,低表现,1,3
pjxyqxbk780,中表现,0,3
pjxuqwbj488,中表现,0,3
pjxyqwbk607,高表现,0,3
pjxuqwbj584,高表现,0,0
pjxyqxbj340,中表现,0,3
pjxsqxbj821,低表现,1,0
pjxyqxbk524,高表现,0,0
pjxyqwbk622,低表现,1,0
pjxyqxbk005,低表现,0,0
pjxyqxbj744,中表现,0,3
pjxsqxbj994,高表现,0,3
pjxuqwbj877,低表现,1,0
pjxyqxbj242,高表现,0,0
pjvyzvfj974,低表现,1,1
pjxyqwbj062,中表现,1,3
pjxyqwbj043,中表现,1,0
pjxsqxbj856,高表现,1,3
pjxyqxbj955,高表现,0,0
pjxyqxbk522,中表现,1,3
pjxxxxbj923,中表现,1,0
pjxyqxbj098,低表现,1,3
pjxyqwbj613,低表现,1,3
pjxwxxbj908,低表现,1,0
pjxyqxbk706,中表现,0,3
pjxyqxbl912,中表现,0,0
pjxyqxbk746,低表现,1,0
pjxsqxbj944,高表现,0,0
pjxyqxbj006,低表现,1,3
pjxyqxbl812,中表现,0,3
pjxyqxbl874,低表现,1,0
pjxyqxbj740,低表现,1,3
pjxqqxbj982,高表现,0,3
pjxuqwbj739,中表现,0,3
pjxpqxbj912,高表现,0,3
pjxyqxbj034,高表现,0,3
pjxyqwbj007,低表现,1,3
pjxsqxbj983,高表现,0,3
pjxyqxbj319,低表现,1,0
pjxyqwbj098,中表现,1,0
pjxuqwbj619,中表现,1,0
pjxyqxbj155,中表现,1,3
pjxyqwbj084,中表现,1,0
pjxyqwbj379,高表现,1,0
pjxyqxbj991,低表现,1,0
pjxqqxbj991,高表现,0,3
pjxuqwbj954,低表现,1,0
pjxyqxbl869,低表现,1,0
pjxwzxkj998,低表现,1,0
pjxsqxbj812,低表现,1,0
pjxyqwbk942,中表现,1,0
pjxyqxbj548,中表现,0,3
pjxvzxbj989,低表现,1,0
pjxyqxbl765,低表现,1,0
pjxyqxbj039,高表现,0,3
pjxyqxbj334,低表现,1,0
pjxyqwbk855,低表现,1,0
pjxuqwbj512,中表现,0,3
pjxyqxbj903,高表现,1,3
pjxyqwbj967,中表现,0,0
pjxyqwbj923,高表现,1,0
pjwrqxbj977,中表现,0,3
pjxyqxbj024,低表现,1,0
pjxyqxbk816,高表现,0,0
pjxyqxbl688,低表现,1,0
pjxsqxbj971,高表现,0,0
pjxyqxbl712,低表现,1,0
pjxyqwbj935,低表现,1,0
pjxyqwbj078,中表现,0,3
pjxyqwbj485,低表现,0,0
pjxyqwbk542,低表现,1,0
pjxxzxkj991,中表现,1,3
pjxyqxbj615,低表现,1,0
pjxyqxbk903,高表现,1,3
pjxyqxbk052,高表现,1,0
pjxuqwbj811,中表现,0,0
pjxuqwbj761,中表现,0,0
pjxyqxbj981,中表现,0,3
pjxyqxbk350,中表现,0,3
pjxyqwbk509,中表现,1,0
pjxqqxbj989,中表现,1,0
pjxyqxbk079,中表现,0,0
pjxwxxbj993,低表现,1,0
pjxqqxbj981,高表现,0,0
pjxyqxbk753,中表现,1,3
pjxyqwbj219,高表现,0,3
pjxyqxbl753,中表现,1,3
pjxyqwbk802,低表现,1,3
pjxyqwbj905,中表现,0,3
pjxyqxbj501,低表现,1,0
pjxuqwbj892,高表现,0,3
pjxuqwbj766,中表现,1,0
pjxuqwbj663,高表现,1,3
pjxyqxbk264,高表现,0,0
pjxyqwbj865,高表现,1,3
pjxyqwbj579,低表现,1,0
pjxyqxbl755,低表现,1,0
pjxyqxbj605,中表现,0,3
pjxyqwbk647,中表现,1,0
pjxyqxbk000,低表现,1,0
pjxyqxbl962,中表现,0,0
pjxyqxbj379,中表现,1,0
pjxyqxbk468,低表现,1,0
pjxyqwbj584,低表现,1,3
pjxwxxbj981,中表现,1,0
pjxyqxbl904,中表现,1,0
pjxyqxbk772,低表现,1,3
pjxyqxbk446,高表现,0,0
pjxyqwbj910,高表现,0,3
pjxtzxfj978,低表现,1,1
pjxyqxbk797,高表现,1,3
pjxuqwbj937,低表现,1,0
pjvyzxbj997,高表现,1,0
pjxyqxbj103,高表现,1,3
pjxyqxbj781,中表现,0,0
pjxyqxbk211,中表现,0,3
pjxyqxbk974,中表现,1,3
pjxyqxbj337,低表现,0,3
pjxyqxbj031,低表现,1,3
pjxyqwbj958,低表现,1,0
pjxuqwbj659,高表现,0,0
pjxyqxbk232,低表现,1,3
pjxuqwbj778,中表现,0,3
pjxyqxbk007,中表现,0,3
pjxyqwbj839,中表现,0,3
pjxyqwbj339,低表现,1,0
pjxuqwbj976,中表现,0,0
pjxyqxbk246,高表现,0,0
pjxyqxbj440,高表现,1,3
pjxyqxbj566,低表现,1,3
pjxyqxbk594,低表现,1,0
pjxrqxbj918,中表现,1,0
pjxyqwbj061,高表现,1,0
pjxwzxfj991,低表现,1,1
pjxyqxbk419,低表现,1,3
pjxpqxbj919,中表现,1,3
pjxyqxbk150,中表现,1,0
pjxyqxbk957,高表现,1,3
pjxyqwbj384,高表现,1,0
pjxuqwbj546,高表现,0,0
pjxyqwbj876,高表现,1,0
pjxyqxbj544,高表现,1,3
pjxqqxbj979,低表现,0,2
pjxuzvbj996,中表现,1,0
pjxyqxbk657,高表现,0,3
pjxrqxbj969,低表现,1,0
pjwrqxbj979,高表现,1,0
pjxyqxbk783,中表现,0,0
pjxyqxbj086,中表现,0,3
pjxyqxbj391,高表现,0,0
pjxyqxbk452,高表现,1,3
pjwrqxbj890,高表现,0,0
pjxyqxbj872,高表现,1,0
pjxyqwbk514,高表现,0,0
pjxuqwbj666,高表现,0,0
pjxyqwbk511,低表现,1,0
pjxsqxbj871,高表现,0,0
pjxyqwbk673,高表现,0,0
pjxyqwbk925,低表现,1,3
pjxyqwbj130,高表现,1,0
pjxyqxbk369,中表现,1,0
pjxyqxbj459,中表现,0,3
pjxyqwbk697,中表现,0,0
pjxsqxbj927,高表现,0,3
pjxyqxbj347,低表现,1,0
pjxyqxbj648,高表现,0,3
pjxyqxbk209,低表现,1,3
pjxuqwbj830,低表现,1,3
pjxyqxbk950,高表现,0,3
pjxyqxbl911,高表现,0,3
pjxyqxbk168,低表现,1,0
pjxyqwbj732,高表现,1,3
pjxyqxbk276,中表现,0,0
pjxyqwbj431,高表现,1,0
pjxyqwbj692,低表现,1,2
pjxxxxbj921,高表现,1,0
pjxyqxbk534,高表现,0,3
pjxuqwbj535,低表现,1,0
pjxyqwbj108,中表现,0,0
pjxyqwbj305,中表现,0,0
pjxrqxbj983,中表现,1,0
pjwtqxbj954,中表现,0,3
pjxyqxbj722,中表现,0,3
pjxyqwbj358,中表现,0,0
pjxyqwbj885,高表现,1,0
pjxyqwbk595,高表现,0,0
pjxyqxbj470,高表现,0,3
pjxyqwbk615,中表现,0,0
pjxyqxbj223,高表现,1,3
pjxyqxbj640,低表现,1,0
pjxyqxbl931,中表现,1,0
pjxyqxbk947,高表现,0,3
pjwrqxbj929,中表现,0,3
pjxsqxbj788,中表现,1,3
pjxyqxbj967,低表现,1,3
pjxyqxbj080,低表现,1,3
pjxyqxbk803,中表现,1,3
pjxyqwbk731,低表现,0,2
pjxpqxbj961,中表现,1,3
pjxuqwbj454,中表现,0,0
pjxyqwbj453,高表现,0,0
pjxpqxbj978,高表现,0,3
pjxyqxbk765,中表现,0,3
pjxyqxbj780,低表现,1,3
pjxyqxbk190,低表现,1,3
pjxyqxbk448,中表现,1,3
pjxyqxbk627,低表现,1,3
pjxyqxbk846,高表现,0,3
pjxyqwbk584,低表现,1,0
pjxyqxbl934,高表现,1,0
pjxyqwbk838,低表现,1,3
pjxuqwbj719,中表现,1,3
pjxyqwbj932,高表现,1,0
pjwtqxbj982,高表现,0,2
pjxvzxfj972,低表现,1,1
pjxyqxbl988,中表现,0,0
pjxuqwbj806,低表现,1,0
pjxqqxbj954,中表现,0,2
pjxuqwbj894,低表现,1,0
pjxyqxbk048,中表现,0,3
pjxyqwbj164,中表现,1,0
pjxyqwbj821,低表现,1,0
pjxyqxbj314,中表现,1,3
pjxyqxbj818,高表现,0,3
pjxyqwbj366,中表现,1,0
pjxyqwbk788,中表现,1,0
pjxyqwbj531,高表现,1,3
pjxyqxbk339,中表现,0,3
pjwtqxbj976,中表现,1,3
pjxyqxbj255,中表现,1,3
pjxyqwbk943,中表现,1,0
pjxyqwbj671,低表现,1,0
pjxyqxbj285,高表现,0,3
pjxyqxbj554,中表现,0,0
pjxyqxbk822,高表现,1,3
pjxyqxbj862,高表现,1,3
pjxyqxbk046,中表现,1,0
pjxuqwbj714,高表现,0,3
pjxrqxbj988,中表现,0,0
pjxxxxbj981,中表现,1,0
pjxyqxbk031,中表现,0,0
pjxxxxbj989,高表现,1,0
pjxyqwbk954,低表现,1,3
pjwtqxbj946,低表现,1,3
pjxyqwbj356,中表现,0,0
pjxrqxbj916,低表现,1,0
pjxyqwbj890,高表现,1,0
pjxyqxbk836,高表现,0,0
pjxyqwbj902,中表现,1,0
pjxyqwbj362,中表现,1,0
pjxuqwbj988,中表现,1,0
pjxyqxbl950,中表现,1,3
pjxxxxbj955,中表现,1,0
pjxrqxbj951,中表现,1,0
pjxuqwbj838,中表现,0,3
pjxyqwbj677,高表现,1,0
pjxyqxbk019,中表现,1,3
pjwrqxbj973,中表现,0,3
pjxsqxbj997,中表现,0,3
pjxrqxbj919,高表现,1,3
pjxuqwbj713,中表现,1,3
pjxsqxbj820,低表现,1,0
pjxyqwbj961,低表现,1,3
pjxyqxbj954,中表现,0,0
pjxyqxbj653,高表现,0,3
pjxyqwbj104,低表现,1,0
pjxpqxbj915,高表现,0,3
pjxyqwbj859,低表现,1,0
pjxuqwbj928,中表现,0,0
pjxyqxbk953,低表现,1,3
pjxyqwbj476,中表现,1,0
pjxyqxbj760,低表现,1,3
pjxyqxbk820,高表现,0,3
pjxyqxbl886,低表现,1,0
pjxyqxbj659,中表现,0,3
pjxyqxbj520,高表现,0,3
pjxrqxbj930,高表现,1,0
pjxyqxbj288,高表现,0,3
pjxyqwbj486,中表现,1,0
pjxpqxbj946,中表现,1,3
pjxyqxbk663,高表现,0,3
pjxuqwbj574,高表现,0,0
pjxsqxbj982,高表现,1,3
pjxyqwbj216,高表现,1,0
pjxyqwbj461,中表现,1,0
pjxyqxbk095,高表现,0,3
pjxyqxbk194,中表现,0,3
pjxuzxbj987,低表现,1,0
pjxyqxbj018,中表现,1,0
pjxyqxbj454,高表现,1,0
pjxpqxbj985,高表现,0,3
pjxyqwbk955,高表现,0,2
pjxrqxbj894,中表现,1,0
pjxyqwbj522,中表现,1,0
pjxpqxbj975,中表现,0,3
pjxuqwbj854,中表现,0,0
pjxyqxbk411,高表现,1,0
pjxyqxbk997,中表现,0,0
pjxyqxbk338,低表现,1,0
pjxuqwbj786,低表现,1,3
pjxyqxbj726,中表现,0,3
pjxuqwbj829,高表现,0,0
pjxyqwbk967,中表现,1,0
pjxyqwbk813,低表现,1,0
pjxyqxbk728,中表现,1,3
pjxyqwbj348,低表现,1,0
pjxyqwbk510,低表现,1,0
pjxyqxbk185,低表现,1,0
pjxyqxbj545,低表现,1,3
